id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
56,Tu Mens Devant Moi,Voilaaa;Rama Traore,afrobeat,happy,0.601,129.97,0.847,0.817,0.0685
57,Yawa Dey,Nero X,afrobeat,happy,0.634,105.02,0.824,0.858,0.406
58,Save Me From Myself,Oba Reengy,afrobeat,intense,0.657,87.38,0.364,0.418,0.328
59,Llegaste Tarde,Los Amigos Invisibles,afrobeat,euphoric,0.82,102.57,0.854,0.49,0.799
60,The Viking,Ikebe Shakedown,afrobeat,euphoric,0.967,110.1,0.755,0.732,0.332
61,Don't Shoot Me Santa,The Killers;Ryan Pardey,alt-rock,happy,0.847,120.04,0.662,0.588,0.0601
62,Mil Canciones,La 25,alt-rock,energetic,0.851,124.03,0.49,0.568,0.025
63,War of Change,Thousand Foot Krutch,alt-rock,happy,0.887,104.06,0.626,0.531,0.0026
64,Tantas Escaleras - Live In Buenos Aires / 2016,Las Pastillas del Abuelo,alt-rock,energetic,0.827,150.94,0.549,0.433,0.0093
65,"The Sick, The Dying… And The Dead!",Megadeth,alt-rock,angry,0.976,88.54,0.193,0.303,0.0027
66,A Vos,Los Caligaris,alt-rock,euphoric,0.869,166.98,0.868,0.628,0.125
67,Só por hoje / Tenis Roque,Detonautas Roque Clube,alt-rock,intense,0.796,178.06,0.339,0.471,0.0439
68,Headful of Ghosts,Bush,alt-rock,angry,0.706,136.98,0.29,0.432,0.0011
69,My Name Is Jonas,Weezer,alt-rock,energetic,0.947,185.94,0.552,0.261,0.0002
70,"10,000 Reasons (Bless The Lord) [Radio Version] - Radio Version/Live",Matt Redman,alt-rock,focused,0.561,144.78,0.306,0.459,0.0839
71,Cry Baby,The Neighbourhood,alt-rock,intense,0.656,108.03,0.338,0.581,0.0027
72,Mezclas Raras,Los Gardelitos,alt-rock,happy,0.764,119.92,0.66,0.645,0.0017
73,Closing Time,Semisonic,alt-rock,angry,0.854,91.86,0.274,0.478,0.02
74,Quinta-Feira,Charlie Brown Jr.,alt-rock,happy,0.646,143.67,0.824,0.724,0.0977
75,Time of Dying,Three Days Grace,alt-rock,energetic,0.873,198.39,0.452,0.306,0.001
76,Radio Kriminal - Remasterizado 2008,Los Fabulosos Cadillacs,alt-rock,angry,0.701,100.64,0.251,0.791,0.0226
77,The Resistance,Skillet,alt-rock,energetic,0.941,156.03,0.503,0.483,0.0005
78,Dispara,Los Rodriguez,alt-rock,euphoric,0.92,102.03,0.822,0.581,0.0659
79,The Universal,Blur,alt-rock,focused,0.546,163.82,0.263,0.32,0.181
80,Animal I Have Become,Three Days Grace,alt-rock,energetic,0.853,122.02,0.506,0.553,0.0007
81,Island In The Sun,Weezer,alt-rock,happy,0.794,114.62,0.678,0.654,0.0077
82,Don't Shoot Me Santa,The Killers;Ryan Pardey,alt-rock,happy,0.847,120.04,0.662,0.588,0.0601
83,Go Amanda,Steve Earle,alt-rock,happy,0.716,143.15,0.648,0.326,0.0023
84,Don't Speak,No Doubt,alt-rock,energetic,0.752,76.07,0.554,0.508,0.251
85,Rimbaud,Estelares,alt-rock,happy,0.737,139.95,0.608,0.647,0.0011
86,Dragula,Rob Zombie,alt-rock,energetic,0.978,125.07,0.558,0.579,0.0001
87,Arrullo De Estrellas,Zoé,alt-rock,intense,0.765,81.51,0.399,0.462,0.324
88,Tuyo siempre,Andrés Calamaro,alt-rock,happy,0.648,68.47,0.74,0.579,0.247
89,Black Hole Sun,Soundgarden,alt-rock,angry,0.827,105.46,0.145,0.351,0.0002
90,The Christmas Song,Newsboys,alt-rock,focused,0.455,75.26,0.237,0.222,0.713
91,Haunted,Evanescence,alternative,angry,0.861,155.67,0.16,0.37,0.0096
92,The Universal,Blur,alternative,focused,0.546,163.82,0.263,0.32,0.181
93,You And Me And The Devil Makes 3,Marilyn Manson,alternative,intense,0.964,128.02,0.399,0.596,0.0001
94,Can't Stop,Red Hot Chili Peppers,alternative,euphoric,0.938,91.45,0.875,0.618,0.0179
95,Void,The Neighbourhood,alternative,focused,0.582,84.18,0.346,0.534,0.047
96,Cherry Flavoured,The Neighbourhood,alternative,focused,0.574,91.77,0.396,0.617,0.23
97,Living Hell,Bella Poarch,alternative,focused,0.551,124.04,0.312,0.729,0.598
98,god has a sense of humor,GAYLE,alternative,focused,0.45,65.25,0.368,0.494,0.622
99,Living Hell,Bella Poarch,alternative,focused,0.551,124.04,0.312,0.729,0.598
100,Papercut,Linkin Park,alternative,happy,0.939,150.18,0.661,0.524,0.0002
101,overwhelmed,Royal & the Serpent,alternative,chill,0.323,87.02,0.456,0.804,0.308
102,Hellfire,Barns Courtney,alternative,happy,0.846,93.98,0.69,0.529,0.244
103,The Beautiful People,Marilyn Manson,alternative,euphoric,0.948,144.04,0.786,0.609,0.004
104,Aerials,System Of A Down,alternative,angry,0.922,79.34,0.227,0.364,0.0009
105,Selfless,The Strokes,alternative,intense,0.679,121.99,0.0888,0.538,0.191
106,Ángel Para Un Final,Los Bunkers,alternative,energetic,0.654,181.89,0.452,0.259,0.025
107,Glitter & Gold,Barns Courtney,alternative,intense,0.625,170.4,0.351,0.487,0.374
108,Stand By Me,Florence + The Machine,alternative,melancholic,0.335,107.99,0.245,0.598,0.841
109,Dead Man's Arms,Bishop Briggs,alternative,focused,0.508,134.58,0.236,0.535,0.233
110,abcdefu,GAYLE,alternative,focused,0.54,121.93,0.415,0.695,0.299
111,Bitter Sweet Symphony - Remastered 2016,The Verve,alternative,energetic,0.917,171.17,0.523,0.356,0.0336
112,Epic,Faith No More,alternative,angry,0.899,174.3,0.27,0.358,0.0112
113,The Beach,The Neighbourhood,alternative,intense,0.64,135.74,0.105,0.245,0.131
114,abcdefu,GAYLE,alternative,focused,0.54,121.93,0.415,0.695,0.299
115,Holiday Rock,Neon Trees,alternative,happy,0.818,148.17,0.684,0.529,0.0001
116,Stabbing In The Dark,Ice Nine Kills,alternative,angry,0.943,164.98,0.292,0.333,0.0012
117,The Beautiful People,Marilyn Manson,alternative,euphoric,0.948,144.04,0.786,0.609,0.004
118,100 Pajaros Volando,Los Rodriguez,alternative,intense,0.663,162.58,0.398,0.313,0.0392
119,From the Inside,Linkin Park,alternative,energetic,0.965,95.03,0.453,0.466,0.042
120,Wires,The Neighbourhood,alternative,focused,0.569,72.99,0.266,0.568,0.0004
121,Nightsky,Tracey Chattaway,ambient,melancholic,0.271,177.12,0.0469,0.113,0.289
122,Prélude,Olivia Belli,ambient,melancholic,0.0214,151.53,0.064,0.107,0.963
123,A Night in Zottegem,aswekeepsearching,ambient,melancholic,0.389,85.01,0.0698,0.413,0.63
124,Pisces Moon - Alternate Version,Flower Face,ambient,focused,0.445,138.03,0.116,0.425,0.181
125,Earth,Sleeping At Last,ambient,melancholic,0.374,119.78,0.247,0.292,0.463
126,Accede,Carbon Based Lifeforms,ambient,focused,0.524,94.99,0.0929,0.49,0.729
127,Life,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,ambient,melancholic,0.268,93.41,0.0523,0.334,0.933
128,Truly,Cigarettes After Sex,ambient,melancholic,0.383,96.55,0.311,0.449,0.145
129,Forces of Attraction,Jóhann Jóhannsson,ambient,chill,0.126,104.0,0.403,0.511,0.895
130,"A Postcard to Henry Purcell - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli;Jean-Yves Thibaudet,ambient,chill,0.0199,84.93,0.567,0.209,0.974
131,You Are Enough,Sleeping At Last,ambient,focused,0.5,118.0,0.465,0.593,0.707
132,Porz Goret (Neumann KM 140 Version),Yann Tiersen;Alessandro Simonetto,ambient,melancholic,0.004,171.43,0.157,0.209,0.99
133,Alone in Kyoto,Air,ambient,melancholic,0.366,179.96,0.0785,0.525,0.958
134,We Contain Multitudes - from home,Ólafur Arnalds,ambient,melancholic,0.0333,90.25,0.169,0.281,0.994
135,Shiver,Lucy Rose,ambient,melancholic,0.192,122.63,0.135,0.463,0.706
136,Jupiter,Flower Face,ambient,melancholic,0.326,90.04,0.0864,0.459,0.896
137,Camping,Jóhann Jóhannsson,ambient,melancholic,0.107,129.37,0.146,0.367,0.862
138,The Quality of Mercy,Max Richter,ambient,melancholic,0.11,76.27,0.0384,0.114,0.933
139,Weightless,Project AER;v i v,ambient,melancholic,0.228,118.0,0.0713,0.706,0.914
140,Silvery,Novo Amor;Ed Tullett;Lowswimmer,ambient,melancholic,0.364,120.03,0.0956,0.535,0.948
141,Golden - Solo Piano Version,Alexis Ffrench,ambient,melancholic,0.171,89.19,0.0746,0.221,0.989
142,Fire and Light,Actress,ambient,melancholic,0.28,140.0,0.0824,0.337,0.987
143,Shamanic Tea - Ajja Remix,Tripswitch;Ajja,ambient,happy,0.941,148.03,0.618,0.527,0.0006
144,The Moment,aswekeepsearching,ambient,melancholic,0.243,150.07,0.0379,0.277,0.966
145,Saving Us a Riot,Phoria,ambient,melancholic,0.137,129.62,0.057,0.475,0.723
146,Turning Page (Live),Sleeping At Last,ambient,melancholic,0.236,126.38,0.239,0.425,0.987
147,Reckless Love,Bethel Music;Cory Asbury,ambient,melancholic,0.162,93.99,0.113,0.208,0.903
148,Nine,Sleeping At Last,ambient,melancholic,0.0854,106.6,0.203,0.368,0.922
149,"All My Joy, All My Pain",Fabrizio Paterlini,ambient,melancholic,0.037,63.13,0.165,0.366,0.992
150,She Remembers,Max Richter,ambient,melancholic,0.0276,67.56,0.0356,0.0602,0.979
151,SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,Cö Shu Nie;Naeleck,anime,angry,0.809,130.0,0.158,0.793,0.0251
152,Swarms of Song - Deutsche Version,Belle,anime,focused,0.526,129.56,0.251,0.432,0.0513
153,Kamado Tanjiro no Uta but is it okay if it's lofi?,Kijugo,anime,melancholic,0.193,140.01,0.26,0.809,0.499
154,One Summer Day (Spirited Away),Kato,anime,melancholic,0.083,54.53,0.0362,0.475,0.831
155,乱舞のメロディ,SID,anime,happy,0.966,192.07,0.623,0.417,0.0022
156,Samidare,Feora,anime,melancholic,0.295,129.93,0.06,0.495,0.0351
157,Call of Silence x Zero Eclipse,Samuel Kim,anime,focused,0.498,127.89,0.214,0.537,0.0798
158,サクラミツツキ,SPYAIR,anime,intense,0.907,179.04,0.332,0.315,0.0003
159,Call Your Name,Hiroyuki Sawano,anime,melancholic,0.3,141.82,0.196,0.567,0.0145
160,Legend of the Martial Artist,Yoshihisa Hirano,anime,angry,0.732,87.84,0.167,0.358,0.019
161,Rap de Buda,Doblecero,anime,happy,0.743,200.12,0.656,0.743,0.184
162,Stuck in Æther,Raimu,anime,melancholic,0.2,68.88,0.0964,0.537,0.721
163,Raiden Shogun Theme (Judgement of Euthymia),Samuel Kim,anime,focused,0.586,144.01,0.125,0.263,0.209
164,Atraparlos Ya! (Pokemon),The Covers Duo,anime,happy,0.856,144.95,0.7,0.654,0.0292
165,fool,frad;Hayne;Milky Day,anime,chill,0.35,90.0,0.488,0.787,0.44
166,Let's Ride,Khantrast,anime,energetic,0.75,128.03,0.568,0.765,0.232
167,Howl's Moving Castle (Merry Go Round),Kato,anime,focused,0.457,110.03,0.21,0.586,0.566
168,Fama Destinata - Deutsche Version,Belle,anime,happy,0.636,116.0,0.749,0.541,0.177
169,点描の唄,Mrs. GREEN APPLE;Sonoko Inoue,anime,intense,0.632,152.01,0.308,0.502,0.447
170,白金ディスコ,物語シリーズ,anime,euphoric,0.929,117.0,0.862,0.738,0.0546
171,Mixed Nuts,Official HIGE DANdism,anime,euphoric,0.918,150.09,0.784,0.542,0.0101
172,Mondstadt Nighttime,Chewie Melodies,anime,melancholic,0.0297,128.86,0.28,0.448,0.992
173,Enemy - Epic Version (from Arcane League of Legends),Samuel Kim,anime,intense,0.687,77.09,0.187,0.489,0.14
174,Rasen,jon-YAKITORY;Ado,anime,intense,0.761,104.96,0.302,0.672,0.0109
175,フィクション,sumika,anime,happy,0.94,122.99,0.694,0.658,0.144
176,Ref:rain,Aimer,anime,intense,0.672,77.98,0.313,0.472,0.0343
177,Raiden vs Shiva Rap. La carga de la cima,Bynmc;Kballero Rap;SoulRap,anime,energetic,0.848,92.3,0.528,0.738,0.446
178,Blue Bird Lofi,Sunday Vibes,anime,romantic,0.456,119.85,0.719,0.811,0.595
179,Akatsuki,Beau.,anime,energetic,0.663,120.22,0.49,0.823,0.557
180,Fuyu No Hanashi,Bastiancortesxv,anime,happy,0.894,137.89,0.641,0.57,0.0208
181,Panzer Division Marduk - Live in Warschau 2005,Marduk,black-metal,angry,0.937,121.59,0.0368,0.172,0.0032
182,The Rest,Mysticum,black-metal,angry,0.938,165.15,0.11,0.287,0.0
183,Post-God Nirvana,Behemoth,black-metal,intense,0.685,79.99,0.0395,0.365,0.104
184,Damned to Fire,Toxic Holocaust,black-metal,angry,0.994,104.39,0.141,0.349,0.0
185,Graveyard Slut,Darkthrone,black-metal,angry,0.993,199.99,0.107,0.0658,0.0007
186,Within Thrall,Leviathan,black-metal,angry,0.942,152.13,0.133,0.181,0.0
187,The First Field of the Battle,Rotting Christ,black-metal,angry,0.913,141.74,0.224,0.289,0.0004
188,Helligdom Av Døde,Khold,black-metal,intense,0.661,127.91,0.282,0.468,0.0001
189,Phantoms of Mortem Tales,Old Man's Child,black-metal,angry,0.954,147.17,0.183,0.128,0.0
190,Purgations of Bodily Corruptions,Hulder,black-metal,angry,0.963,150.12,0.111,0.15,0.0955
191,Crying Days - 2000,Therion,black-metal,intense,0.643,120.06,0.153,0.467,0.0005
192,The Hallowing Of Heirdom,Winterfylleth,black-metal,melancholic,0.228,109.95,0.0768,0.304,0.886
193,Blow Your Trumpets Gabriel,Behemoth,black-metal,angry,0.945,118.28,0.169,0.175,0.0002
194,Det Svartner Nå,Darkthrone,black-metal,angry,0.992,126.17,0.0599,0.288,0.0
195,La Malédiction de la Dame Blanche,Carach Angren,black-metal,angry,0.974,150.05,0.104,0.25,0.0
196,Maha-Kali,Dissection,black-metal,happy,0.836,109.01,0.655,0.569,0.0
197,Mother Earth Father Thunder - Bonus Track,Månegarm,black-metal,focused,0.594,130.0,0.17,0.424,0.009
198,Melting Sun I: Azure Chimes,Lantlôs,black-metal,focused,0.582,124.93,0.0872,0.329,0.0
199,Woodland Cathedral,Wolves In The Throne Room,black-metal,focused,0.404,67.31,0.037,0.0629,0.21
200,Eraser,Hypocrisy,black-metal,angry,0.951,100.01,0.183,0.429,0.0004
201,United We Fall,Hypocrisy,black-metal,angry,0.957,110.13,0.299,0.381,0.0
202,Everyday I Must Suffer!,Carpathian Forest,black-metal,angry,0.981,77.53,0.227,0.307,0.0
203,Ars Moriendi - The Lower Crown,Manes,black-metal,focused,0.574,120.08,0.0719,0.551,0.0007
204,Schreeches from the Silence,Sarcófago,black-metal,energetic,0.904,112.8,0.433,0.382,0.0006
205,Homewards,Groza,black-metal,angry,0.983,82.48,0.0353,0.143,0.0009
206,Song for Mountains,Les Discrets,black-metal,angry,0.894,139.97,0.198,0.42,0.0071
207,Rituals of Human Sacrifice for Lord Baal,Inquisition,black-metal,angry,0.935,75.61,0.102,0.19,0.0035
208,Cerecloth,Naglfar,black-metal,angry,0.967,115.02,0.034,0.361,0.0
209,Lifeblood,In Twilight's Embrace,black-metal,angry,0.949,134.99,0.129,0.153,0.0
210,I Want to Be with You,Sadness,black-metal,focused,0.466,87.29,0.0737,0.144,0.686
211,Beside Myself,Yonder Mountain String Band,bluegrass,happy,0.514,145.1,0.708,0.635,0.22
212,Keep on Going,Yonder Mountain String Band,bluegrass,happy,0.541,95.8,0.797,0.555,0.588
213,"New Favorite - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,bluegrass,melancholic,0.226,159.88,0.238,0.425,0.578
214,At the End of the Day,Yonder Mountain String Band,bluegrass,happy,0.567,117.61,0.673,0.53,0.668
215,Spirit,The Wood Brothers,bluegrass,chill,0.296,100.86,0.564,0.697,0.786
216,Talk On Indolence - Live At Bojangles' Coliseum/2009,The Avett Brothers,bluegrass,intense,0.94,157.97,0.384,0.367,0.0102
217,Jacqueline,Sarah Jarosz,bluegrass,melancholic,0.0924,93.83,0.206,0.475,0.819
218,What Would You Give (In Exchange For Your Soul),The Devil Makes Three,bluegrass,melancholic,0.31,152.02,0.374,0.488,0.478
219,The Girl From The Highlands,Balsam Range,bluegrass,happy,0.647,119.09,0.609,0.661,0.595
220,Tarheel Boys,Town Mountain,bluegrass,happy,0.663,162.08,0.698,0.413,0.175
221,The Girl Who Invented The Wheel,Balsam Range,bluegrass,intense,0.729,121.92,0.368,0.637,0.59
222,Where Do My Bluebird Fly,Trout Steak Revival,bluegrass,happy,0.546,120.56,0.691,0.556,0.745
223,Old & In The Way Breakdown,Old & In The Way,bluegrass,happy,0.507,152.4,0.913,0.435,0.397
224,Farmers and Pharaohs,Steep Canyon Rangers,bluegrass,happy,0.532,93.4,0.66,0.562,0.617
225,Can't Complain,Nickel Creek,bluegrass,melancholic,0.36,75.86,0.193,0.402,0.508
226,Oval Room,Hackensaw Boys,bluegrass,romantic,0.45,83.59,0.658,0.601,0.399
227,Midnight Flyer,The Osborne Brothers;Mac Wiseman,bluegrass,happy,0.632,137.56,0.888,0.54,0.727
228,Ships Sail Away,Watchhouse,bluegrass,melancholic,0.235,118.22,0.196,0.42,0.866
229,I Still Haven't Found What I'm Looking For,Sarah Jarosz,bluegrass,chill,0.141,105.38,0.505,0.587,0.919
230,Blackberry Blossom,Tony Rice Unit,bluegrass,happy,0.602,129.51,0.769,0.457,0.153
231,Do It Alone,Greensky Bluegrass,bluegrass,focused,0.523,87.84,0.375,0.435,0.636
232,Hold On,Greensky Bluegrass,bluegrass,happy,0.524,118.95,0.916,0.472,0.675
233,Jericho,Mile Twelve,bluegrass,chill,0.303,172.57,0.43,0.361,0.787
234,Pamlico,Town Mountain,bluegrass,focused,0.52,152.24,0.579,0.505,0.77
235,I'll Take A Melody - Live,Jerry Garcia Band;Jerry Garcia,bluegrass,focused,0.527,122.7,0.465,0.544,0.333
236,The Hitchhiker,The Infamous Stringdusters,bluegrass,happy,0.64,143.93,0.609,0.514,0.202
237,Gather Round - Prelude,Kruger Brothers;Kontras Quartet,bluegrass,melancholic,0.124,87.2,0.263,0.499,0.836
238,Cliffs Of Dover - Instrumental,Eric Johnson,bluegrass,intense,0.775,94.91,0.313,0.449,0.162
239,Reasons to Stay,Greensky Bluegrass,bluegrass,focused,0.485,106.2,0.536,0.395,0.468
240,Jitterbug Love,The Wood Brothers,bluegrass,euphoric,0.721,96.12,0.728,0.659,0.531
241,Dream A Little Dream Of Me,Ella Fitzgerald;Louis Armstrong,blues,melancholic,0.127,76.56,0.322,0.631,0.939
242,Merry Christmas Baby,Otis Redding,blues,romantic,0.291,101.52,0.856,0.71,0.35
243,Sleigh Ride,Ella Fitzgerald,blues,romantic,0.287,77.12,0.639,0.593,0.764
244,Dangerous,Royal Deluxe,blues,romantic,0.484,79.62,0.758,0.521,0.0272
245,Poulo,Amadou & Mariam,blues,happy,0.881,119.48,0.699,0.656,0.118
246,Dang Ding Dong,The Changcuters,blues,energetic,0.879,132.98,0.562,0.57,0.0076
247,Inside Friend (feat. John Mayer),Leon Bridges;John Mayer,blues,melancholic,0.259,88.97,0.361,0.693,0.448
248,Slide On,Mr. David,blues,happy,0.648,108.47,0.917,0.77,0.0283
249,Born To Be Wild,Steppenwolf,blues,energetic,0.71,145.93,0.53,0.438,0.262
250,What a Fool Believes,The Doobie Brothers,blues,happy,0.625,120.66,0.977,0.646,0.275
251,Sleigh Ride,Ella Fitzgerald,blues,romantic,0.287,77.12,0.639,0.593,0.764
252,Abracadabra - Remastered 2017,Steve Miller Band,blues,euphoric,0.788,127.52,0.964,0.753,0.126
253,Nights In White Satin - Single Version / Mono,The Moody Blues,blues,focused,0.483,84.71,0.173,0.195,0.465
254,Cocaine,J.J. Cale,blues,focused,0.411,104.35,0.39,0.789,0.409
255,Rudolph The Red-Nosed Reindeer,Ella Fitzgerald,blues,romantic,0.315,119.94,0.64,0.596,0.961
256,Hotta Chocolatta,Ella Fitzgerald,blues,happy,0.532,120.91,0.866,0.85,0.768
257,Angelitos culones,Memphis La Blusera;Gustavo Borner,blues,energetic,0.808,118.33,0.436,0.635,0.186
258,Anyone Who Knows What Love Is (Will Understand),Irma Thomas,blues,melancholic,0.29,185.01,0.158,0.389,0.406
259,La Chinita y Yo,El Cruce,blues,euphoric,0.873,90.11,0.828,0.392,0.225
260,Sleigh Ride,Ella Fitzgerald,blues,romantic,0.287,77.12,0.639,0.593,0.764
261,Shoulda' Known Better,Possessed by Paul James,blues,happy,0.76,72.57,0.689,0.497,0.264
262,Cauchemar de course,Bernard Adamus,blues,energetic,0.933,99.58,0.504,0.685,0.448
263,Big Train,Tucka,blues,euphoric,0.797,103.03,0.803,0.695,0.194
264,Frosty The Snowman,Ella Fitzgerald,blues,happy,0.502,76.78,0.836,0.579,0.733
265,Rudolph The Red-Nosed Reindeer,Ella Fitzgerald,blues,romantic,0.315,119.94,0.64,0.596,0.961
266,Smokestack Lightnin',Howlin' Wolf,blues,chill,0.342,146.12,0.588,0.661,0.844
267,2176,Bernard Adamus,blues,romantic,0.351,128.42,0.691,0.595,0.555
268,Catch The Rainbow,Rainbow,blues,focused,0.412,132.99,0.282,0.32,0.188
269,A Sunday Kind Of Love,Etta James,blues,chill,0.3,84.9,0.481,0.434,0.832
270,Woman,Wolfmother,blues,angry,0.94,151.3,0.223,0.236,0.0
271,Música Urbana - Versão Alternativa,Capital Inicial,brazil,euphoric,0.76,172.95,0.801,0.42,0.0056
272,Ando Só - Ao Vivo,Humberto Gessinger,brazil,energetic,0.938,116.06,0.429,0.514,0.0227
273,Colisão,Anderson Freire,brazil,happy,0.666,138.04,0.686,0.56,0.448
274,Tá na Mão de Deus,Aurelina Dourado,brazil,euphoric,0.79,145.07,0.747,0.689,0.588
275,Um certo Galileu - Ao Vivo,Padre Zezinho,brazil,focused,0.527,86.01,0.391,0.587,0.188
276,Rodo cotidiano (Participação especial Maria Rita) - Ao vivo acústico,O Rappa;Maria Rita / 1134893,brazil,energetic,0.704,114.75,0.505,0.634,0.647
277,Matrix,Xamã;Bagua Records;Rio Santana,brazil,focused,0.568,114.94,0.588,0.827,0.153
